Series,Date,PM,NO,NO2,Nox,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,O Xylene,Temperature,RH,WS,WD,SR,BP,VWS,RF,Mixing Height 
31,31-Jan-2019 - 00:00,179.44,87.83,74.2,161.62,15.32,16.5,0.75,25.72,0.72,0.58,0.19,0.22,17.92,53.57,0.56,159.66,121.3,1013.58,0.03,0,0.692308
32,01-Feb-2019 - 00:00,187.74,61.76,83.93,143.98,18.29,14.12,0.79,23.6,0.36,0.45,0.16,0.18,19.22,53.86,0.22,199.27,115.67,1011.65,0.04,0,1.4972
33,02-Feb-2019 - 00:00,307.95,193.51,67.7,244.86,14.97,17.86,1.47,21.95,0.4,0.38,0.15,0.19,19.71,54.11,0.26,163.89,117.39,1010.66,0.03,0,1.4972
34,03-Feb-2019 - 00:00,227.04,142.96,68.44,209.47,14.1,14.81,1.57,21.67,0.23,0.23,0.1,0.1,20.33,50.7,0.32,172.88,123.68,1012.78,0.03,0,1.4972
35,04-Feb-2019 - 00:00,203.24,80.9,91.32,172.2,17.47,15.08,1.25,19.2,0.17,0.14,0.06,0.08,20.54,48.08,0.26,183.95,120.19,1014.03,0.03,0,1.4972
36,05-Feb-2019 - 00:00,195.78,106.58,79.03,185.33,14.69,19.38,1.22,19.53,0.2,0.23,0.1,0.12,19.82,50.44,0.3,214.29,122.3,1012.44,0.04,0,1.4972
37,06-Feb-2019 - 00:00,241.3,115.02,112.99,226.51,17.68,19.09,1.53,19.06,0.16,0.14,0.06,0.07,20.52,50.82,0.3,186.28,115.26,1009.68,0.04,0,1.4972
38,07-Feb-2019 - 00:00,212.89,51.22,126.46,177.68,31.86,19.57,1.26,29.21,0.1,0.08,0.03,0.04,21.77,52.86,0.24,101.7,103.63,1010.06,0.04,0,1.4972
39,08-Feb-2019 - 00:00,200.99,12.86,110.07,122.94,37.04,16.22,1.05,40.29,0.09,0.07,0.03,0.03,22.56,57.95,0.6,117.52,80.24,1010.32,0.03,0,1.4972
40,09-Feb-2019 - 00:00,135.34,3.26,49.42,52.67,32.02,7.65,0.64,41.4,0.08,0.07,0.03,0.02,20.75,66.05,0.65,138.16,91.87,1010.92,0.03,0,1.4972
41,10-Feb-2019 - 00:00,70.67,4.58,67.01,71.59,23.93,7.05,0.53,35.8,0.07,0.07,0.03,0.03,19.44,49.37,0.37,223.4,141.34,1014.38,0.03,0,1.4972
42,11-Feb-2019 - 00:00,111.71,3.75,75.05,78.8,25.86,11.3,0.69,34.41,0.07,0.07,0.02,0.02,19.19,49.62,0.33,152.92,146.94,1014.36,0.02,0,1.4972
43,12-Feb-2019 - 00:00,151.58,37.31,117.71,155.01,21.36,12.31,0.86,26.09,0.07,0.07,0.02,0.02,20.01,47.58,0.36,199.98,144.24,1014.86,0.03,0,1.4972
44,13-Feb-2019 - 00:00,153.7,111.65,129.02,240.25,19.92,14.63,1.21,27.58,0.07,0.06,0.02,0.02,20.82,48.25,0.36,169.73,138.44,1014.05,0.03,0,1.4972
45,14-Feb-2019 - 00:00,227.18,129.22,150.3,279.53,22.16,21.13,1.35,26.47,0.07,0.06,0.02,0.02,21.93,49.73,0.3,201.69,130.57,1011.33,0.03,0,1.4972
46,15-Feb-2019 - 00:00,263.55,123.8,137.16,260.95,30.59,18.14,1.39,31.34,0.06,0.05,0.02,0.02,22.62,53.55,0.29,180.58,124.93,1010.69,0.03,0,1.4972
47,16-Feb-2019 - 00:00,147.9,31.05,117.3,148.36,29.31,16.07,0.99,23.28,0.05,0.05,0.02,0.01,21.18,60.32,0.63,220.59,87.42,1010.28,0.03,0,1.4972
48,17-Feb-2019 - 00:00,124.2,8.24,89.82,98.06,27.55,13.42,0.77,29.15,0.05,0.04,0.01,0.01,21.84,57.99,0.53,220.46,126.37,1007.08,0.03,0,1.4972
49,18-Feb-2019 - 00:00,141.6,20.58,104.09,124.67,21.86,10.69,0.92,28.62,0.04,0.04,0.01,0.02,20.98,47.12,0.5,164.54,133.01,1007.32,0.03,0,1.4972
50,19-Feb-2019 - 00:00,199.16,27.45,130.53,157.99,27.39,18.98,0.93,29.05,1.33,3.62,0.44,0.34,22.9,56.75,0.59,194.02,125.58,1008.81,0.02,0,1.4972
51,20-Feb-2019 - 00:00,129.53,7.19,73.63,80.78,42.24,11.85,0.75,32.88,0.77,4.83,0.52,0.66,24.6,60,0.59,205.07,128.38,1011.39,0.03,0,1.4972
52,21-Feb-2019 - 00:00,201.6,60.31,121.5,181.81,27.41,23.53,1.11,29.37,0.67,3.06,0.3,0.24,24.52,53.27,0.38,216.35,125.32,1011.93,0.03,0,1.4972
53,22-Feb-2019 - 00:00,120.92,14.36,87.1,101.45,35.58,19.94,0.68,25.03,0,0,,,24.97,67.44,0.63,214.98,126.3,1008.08,0.03,0,1.4972
54,23-Feb-2019 - 00:00,133.56,14.12,101.48,115.6,27.84,15.48,0.88,30.33,,,,,26.07,56.35,0.38,225.35,124.43,1005.8,0.02,0,1.4972
55,24-Feb-2019 - 00:00,127.12,7.38,66.52,73.9,30.02,9.79,0.65,38.54,,,,,25.23,42.21,0.64,134.51,132.08,1006.29,0.03,0,1.4972
56,25-Feb-2019 - 00:00,102.37,7.61,79.54,87.15,32.36,8.15,0.67,27.11,,,,,19.56,77.79,0.83,173.04,97.82,1007.17,0.03,0.01,1.4972
57,26-Feb-2019 - 00:00,62.53,5.11,45.73,50.84,29.2,3.54,0.49,24.95,0,0,,,19.34,88.04,0.68,124.96,60.29,995.87,0.03,0.26,1.4972
58,27-Feb-2019 - 00:00,40.06,6.15,51.52,57.68,23.6,3.81,0.42,27.11,13.71,20.8,1.81,0.98,19.95,85.06,0.83,166.83,129.45,1005.72,0.03,0.16,1.4972
59,28-Feb-2019 - 00:00,51.11,14.3,59.24,73.54,20.78,4.65,0.6,22.98,6.5,13.15,1.29,0.57,19.22,86.11,0.4,183.27,89.53,1006.72,0.03,0.11,1.4972
60,01-Mar-2019 - 00:00,78.72,31.51,74.52,106.03,15.87,7.13,0.71,29.92,7.11,9.97,1.59,0.59,19.21,59.35,0.53,125.34,202.03,999.76,0.03,0,1.4972
61,02-Mar-2019 - 00:00,108.32,31.05,79.58,110.64,23.76,7.32,0.83,31.93,10.21,15.2,2.19,0.74,19.74,52.95,0.44,124,169.39,1010.11,0.03,0,1.4972
62,03-Mar-2019 - 00:00,148.06,31.03,111.29,142.32,27.66,10.2,1.01,29.44,12.62,16.23,2.95,0.9,21.28,53.06,0.22,195.81,147.23,1006.99,0.04,0,1.4972
63,04-Mar-2019 - 00:00,129.69,5.49,72.47,77.95,38.57,9.18,0.65,28.49,11.25,14.13,1.83,0.75,22.85,77.94,0.56,193.72,95.1,1003.73,0.02,0,1.4972
64,05-Mar-2019 - 00:00,75.28,6.92,52.25,59.17,33.78,6.9,0.62,26.74,10.6,14.91,2.11,0.97,23.04,78.36,0.58,124.33,108.82,1002.6,0,0.21,1.4972
65,06-Mar-2019 - 00:00,92.49,5.51,50.38,55.87,32.18,7.73,0.79,32.5,7.62,12.75,2.05,0.94,23.11,74.53,0.49,104.29,125.5,1004.45,0,0,1.4972
66,07-Mar-2019 - 00:00,104.85,6.83,69.68,76.6,33.84,8.41,0.78,28.49,7.56,19.46,2.84,1.16,22.64,55.38,0.75,146.48,156.17,1006.43,0,0,1.4972
67,08-Mar-2019 - 00:00,101.45,32.22,114.74,146.94,39.22,10.39,0.96,17.78,21.98,32.7,5.12,2.02,23.12,46.14,0.33,192.64,175.26,1007.88,0,0,1.4972
68,09-Mar-2019 - 00:00,106.97,17.35,110.78,128.13,38.23,13.23,0.79,18.27,35.35,19.22,3.18,1.31,24.34,43.9,0.33,212.59,182.96,1008.01,0,0,1.4972
69,10-Mar-2019 - 00:00,84.25,4.87,48.19,53.08,40.63,5.92,0.49,14.6,5.01,8.3,1.27,0.49,24.73,74.67,0.91,198.14,139.23,1007.68,-0.02,0,1.4972
70,11-Mar-2019 - 00:00,81.22,11.69,60.49,72.37,33.48,5,0.57,23.29,7.48,13.33,2.4,1.12,26.48,72.85,0.36,178.92,117.08,1008.35,0,0,1.4972
71,12-Mar-2019 - 00:00,105.95,10.07,75.09,85.16,22.26,18.1,0.47,34.42,9.67,16.96,2.96,1.02,26.97,67.32,0.62,225.92,164.42,1007.96,0,0,1.4972
72,13-Mar-2019 - 00:00,74.26,7.29,59.09,66.38,22.73,9.58,0.49,31.24,5.31,11.63,1.98,0.9,27.66,67.94,0.59,200.33,161.41,1008.16,-0.03,0,1.4972
73,14-Mar-2019 - 00:00,96.82,4.95,63.52,68.46,23.28,10.17,0.51,55.13,8.77,5.24,1.99,0.86,27.97,60,0.52,179.15,156.02,1006.17,-0.22,0.01,1.4972
74,15-Mar-2019 - 00:00,93.76,8.92,94.42,103.16,22.37,16.75,0.6,40.55,11.02,9.16,2.6,0.97,25.62,60.83,0.43,202.1,127.76,999.43,-0.01,0,1.4972
75,16-Mar-2019 - 00:00,64.03,13.09,98.31,111.4,21.34,13.37,0.51,35.61,7.88,17.03,2.77,1.08,25.56,57.07,0.48,222.19,147.87,1009.18,-0.01,0,1.4972
76,17-Mar-2019 - 00:00,88.29,4.32,56.17,60.49,24.76,8.87,0.43,48.89,6.48,8.1,1.43,0.76,25.76,66.55,0.52,160.25,151.77,1009.5,-0.01,0.35,1.4972
77,18-Mar-2019 - 00:00,62.82,21.28,117.15,138.42,18.41,11.39,0.53,32.8,12.88,20.19,3.45,1.32,23.72,63.43,0.45,192.23,136.11,1008.61,-0.01,0,1.4972
78,19-Mar-2019 - 00:00,70.75,5.57,82.56,87.86,22.73,13.63,0.42,37.12,12.24,15.09,2.08,0.73,25.23,64.61,0.65,219.98,164.47,992.17,-0.22,0,1.4972
79,20-Mar-2019 - 00:00,88.97,10.04,81.47,91.51,21.3,11.72,0.5,31.92,14.91,14.86,2.78,0.99,26.32,70.21,0.43,212.16,140.15,1005.8,0,0,1.4972
80,21-Mar-2019 - 00:00,73.57,4.12,43.96,48.08,19.57,7.58,0.33,46.03,4.22,6,1.09,0.4,27.37,64.01,0.65,207.37,190.27,1006.54,0,0,1.4972
81,22-Mar-2019 - 00:00,59.52,4.64,48.66,53.3,18.79,7.22,0.43,33.14,5.85,7.39,1.4,0.55,25.66,74.43,0.75,207.99,150.35,1006.02,-0.01,0.09,1.4972
82,23-Mar-2019 - 00:00,87.38,38.05,114.93,152.98,12.18,13.63,0.7,39.2,19.61,30.17,6.04,1.06,26.83,52.31,0.3,221.46,201.58,1005.97,0,0,1.4972
83,24-Mar-2019 - 00:00,100.71,37.68,109.43,147.1,13.87,15.6,0.69,46.83,12.23,19.18,4.6,0.92,26.54,37.51,0.35,214.27,210.58,1006.27,0,0,1.4972
84,25-Mar-2019 - 00:00,121.73,46.79,144.24,191.03,23.44,19.35,0.79,35.86,25.29,29.38,7.11,1.27,27.51,41.64,0.34,215.94,190.43,1006.1,0,0,1.4972
85,26-Mar-2019 - 00:00,99.31,4.59,56.4,60.94,27.59,7.82,0.38,43.2,5.28,9.54,1.73,0.63,26.75,54.98,0.87,174.69,176.09,1007.51,-0.02,,1.4972
86,27-Mar-2019 - 00:00,80.06,6.04,83.54,89.58,20.97,18.01,0.48,42.38,8.58,19.52,2.52,0.78,25.93,50.1,0.47,206.5,173.25,1009.2,-0.01,,1.4972
87,28-Mar-2019 - 00:00,78.56,7.85,60.49,68.33,24.44,6.63,0.43,30.55,8.48,15.21,2.1,0.78,27.18,63.91,0.54,205.87,160.17,1007.62,0,,1.4972
88,29-Mar-2019 - 00:00,67.45,6.54,45.91,52.46,23.35,4.89,0.29,22.88,5.5,12.54,1.34,0.5,26.95,70.46,1.02,207.88,165.52,1004.76,0,,1.4972
89,30-Mar-2019 - 00:00,68.23,5.69,46.04,51.74,20.48,6.04,0.44,25.73,7.42,10.47,2.89,1.93,27.74,70.83,0.72,210.25,161.24,1003.44,0,,1.4972
90,31-Mar-2019 - 00:00,59.28,6.46,33.69,40.16,15.85,1.17,0.37,19.55,2.45,5.38,0.79,0.3,28.01,75.01,1,208.75,185.27,1002.74,-0.01,,1.4972
91,01-Apr-2019 - 00:00,33.76,4.41,23,27.42,16.04,1.85,0.32,31.19,2.2,6.01,0.57,0.24,26.47,69.06,0.81,119.77,175.61,1004.8,-0.02,,1.4972
92,02-Apr-2019 - 00:00,61.14,6.71,48.18,54.89,13.69,1.88,0.47,23.56,4.91,13.47,1.43,0.54,27.98,72.89,0.76,186.58,157.89,1003.88,0,,1.4972
93,03-Apr-2019 - 00:00,52.34,5.26,27.25,32.39,13.57,0.72,0.31,26.67,4.83,12.18,0.99,0.4,28.23,71.91,0.68,193.29,181.47,1004.95,0,,1.4972
94,04-Apr-2019 - 00:00,50.56,5.69,30.92,36.61,9.73,2.67,0.26,20.95,4.29,13.39,1.12,0.42,27.51,73.85,0.9,202.98,140.92,1005.6,0,,1.4972
95,05-Apr-2019 - 00:00,52.13,8.22,36.3,44.53,9.72,1.4,0.29,23.93,6,10.78,1.15,0.49,27.33,71.27,0.59,186.55,113.49,1004.62,0,,1.4972
96,06-Apr-2019 - 00:00,48.69,9.16,57.41,66.58,10.92,7.3,0.31,35.24,5.08,12.4,1.55,0.59,25.53,67.64,0.58,202.21,161.49,1005.5,0,,1.4972
97,07-Apr-2019 - 00:00,40.71,4.98,46.55,51.52,13.69,5.48,0.33,54.22,4.42,6.29,1.15,0.45,25.03,66.94,0.51,165.32,180.31,1005.19,0,,1.4972
98,08-Apr-2019 - 00:00,43.19,5.92,54.15,60.08,12.19,7.34,0.29,43.4,4.44,10.09,1.18,0.47,26.48,61.16,0.77,202.39,181.41,1003.47,-0.01,,1.4972
99,09-Apr-2019 - 00:00,45.3,7.05,52.36,59.42,11.91,6.19,0.29,29.28,5.63,12.3,1.42,0.51,25.94,69.2,0.75,195.69,204.89,1003.54,-0.01,,1.4972
100,10-Apr-2019 - 00:00,40.16,7.86,51.99,59.86,11.65,3.14,0.31,23.64,6.55,15.08,1.38,0.56,25.37,74.8,0.8,212.9,152.73,1005.16,0,,1.4972
101,11-Apr-2019 - 00:00,45.13,6.41,32.47,38.88,9.48,2.38,0.28,21.34,6.38,12.27,1.22,0.47,27.7,76.89,0.62,208.33,157.98,1003.84,0,,1.4972
102,12-Apr-2019 - 00:00,42.88,7.75,34.24,42,7.72,4.87,0.29,23.12,4.86,9.46,1.13,0.45,28.31,74.3,0.48,162.85,169.39,1003.32,0,,1.4972
103,13-Apr-2019 - 00:00,43.7,4.72,30.68,35.41,7.33,6.11,0.27,36.63,4.35,9.31,0.92,0.38,28.3,68.06,0.69,119.87,195.6,1003.57,0,,1.4972
104,14-Apr-2019 - 00:00,43.54,3.92,27.13,31.04,13.7,6.23,0.25,36.05,3.47,5.63,0.8,0.33,28.42,72.41,0.64,192.09,179.91,1003.45,0,,1.4972
105,15-Apr-2019 - 00:00,47.3,4.73,27.42,32.14,8.78,5.13,0.26,27.85,4.8,6.67,0.77,0.39,29.2,74.84,0.73,205.31,191.44,1002.23,0,,1.4972
106,16-Apr-2019 - 00:00,57.16,4.46,20.9,25.36,9.61,4.92,0.3,25.32,4.43,7.13,0.94,0.51,29.37,71,0.53,146.92,169.02,1002.91,0,,1.4972
107,17-Apr-2019 - 00:00,71.39,2.73,27.45,30.19,20.27,7.19,0.4,36.06,5.64,8.89,1.71,0.77,28.64,55.86,0.49,144.61,162.01,1005.6,0,,1.4972
108,18-Apr-2019 - 00:00,87.58,6.23,44.79,51.02,32.19,17.34,0.5,41.07,9.85,19.6,1.9,0.99,28.73,46.84,0.24,213.08,193.11,1005.42,0.01,,1.4972
109,19-Apr-2019 - 00:00,88.89,4.35,43.4,47.75,31,14.73,0.53,37.51,10.11,18.62,2.58,1.04,27.41,55.15,0.57,213.09,126.67,1004.12,-0.01,,1.4972
110,20-Apr-2019 - 00:00,70.51,3.01,36.59,39.61,25.73,17,0.41,50.6,5.69,11.85,2.09,0.72,28.32,49.89,0.56,221.96,212.16,1002.28,0,,1.4972
111,21-Apr-2019 - 00:00,52.06,3.1,21.52,24.63,23.08,3.45,0.29,36.08,2.19,4.36,0.91,0.35,27.65,64.32,0.88,205,179.79,1001.76,-0.01,,1.4972
112,22-Apr-2019 - 00:00,53.89,3.45,31.2,34.64,23.1,7.24,0.38,37.26,5.69,8.03,1.2,0.64,26.61,63.62,0.49,118.27,201.59,1002.31,0,,1.4972
113,23-Apr-2019 - 00:00,48.3,3.38,34.47,37.86,24.47,7.32,0.35,39.58,7.86,14.29,1.18,0.81,29.27,58.28,0.5,174.85,201.1,1003.86,0,,1.4972
114,24-Apr-2019 - 00:00,46.01,4.56,32.77,37.34,19.8,4.44,0.3,21.46,8.49,10.96,1.08,0.59,29.53,61.72,0.52,173.89,195.98,1004.28,0,,1.4972
115,25-Apr-2019 - 00:00,41.23,7.34,30.86,38.19,14.32,3.51,0.25,14.75,5.17,9.46,0.7,0.5,29.31,68.53,0.7,182.48,199.32,1003.51,0,,1.4972
116,26-Apr-2019 - 00:00,49.32,6.6,27.84,34.44,13.61,2.67,0.27,17.6,6.39,11.36,0.35,0.52,29.38,68.83,0.83,199.96,209.81,1001.58,0,,1.4972
117,27-Apr-2019 - 00:00,57.43,5.88,29.33,35.21,11.44,2.39,0.3,14.01,5.91,12.71,0.58,0.42,30.32,69.55,1.04,211.17,185.03,1000.21,0,,1.4972
118,28-Apr-2019 - 00:00,49.09,5.53,19.8,25.32,9.15,2.23,0.22,12.67,3.19,6.38,0.38,0.27,30.51,69.91,1.14,210.48,197.91,1000.14,0,,1.4972
119,29-Apr-2019 - 00:00,29.77,7.14,19.35,26.47,8.14,2.17,0.21,12.72,3.64,10.24,0.34,0.37,29.85,70.71,1.4,209.08,200.15,1000.47,-0.01,,1.4972
120,30-Apr-2019 - 00:00,31.26,7.2,21.03,28.23,4.84,2.33,0.24,19.1,4.68,12.74,0.27,0.39,29.59,64.6,1.48,208.19,195.03,1000.89,-0.01,,1.4972
121,01-May-2019 - 00:00,24.03,6.54,24.57,31.1,10.45,2.24,0.16,25.31,4.19,6.03,0.11,0.28,29.65,67.55,1.3,205.12,177.05,1000.99,0.01,,1.170331
122,02-May-2019 - 00:00,29.7,3.99,17.58,21.57,10.42,2.02,0.15,26.74,2.44,6.69,0.05,0.27,29.06,71.11,0.56,189.4,115.43,1001.21,0,,1.170331
123,03-May-2019 - 00:00,18.02,3.52,9.98,13.49,11.77,1.66,0.16,33.09,1.96,4.09,0.07,0.24,25.92,82.9,0.89,68.33,54.24,998.28,-0.04,,1.170331
124,04-May-2019 - 00:00,26.75,8.34,30.23,38.56,10.98,3.24,0.35,33.56,3.35,6.99,0.07,0.49,24.36,83.85,0.96,200.27,113.78,997.23,-0.04,,1.170331
125,05-May-2019 - 00:00,59.95,16.26,39.21,55.47,7.66,3.56,0.39,33.54,10.6,15.17,0.01,0.76,28,74.6,0.74,193.14,202.77,1002.63,0,,1.170331
126,06-May-2019 - 00:00,60.44,3.69,29.09,32.78,7.14,2.5,0.28,42,4.97,9.42,0.04,0.44,30.15,67.27,0.82,212.66,219.82,1000.38,0,,1.170331
127,07-May-2019 - 00:00,71.29,3.57,35.1,38.67,5.74,1.87,0.29,42.43,7.29,14.11,0.02,0.52,30.15,68.51,0.91,208.37,208.52,998.85,0,,1.170331
128,08-May-2019 - 00:00,74.79,4.35,35.07,39.42,5.25,1.77,0.29,41.48,6.93,13.1,0.02,0.05,30.49,72.31,0.88,207.27,199.88,997.7,0,,1.170331
129,09-May-2019 - 00:00,75.37,3.48,30.57,34.05,5.32,2.4,0.29,43.11,,,,,30.64,73.72,0.96,206.1,193.97,996.86,0.01,,1.170331
130,10-May-2019 - 00:00,71.27,3,24.75,27.75,3.73,2.52,0.32,44.39,9.07,15.68,,,30.81,73.05,0.89,205.79,196.52,998.73,0.01,,1.170331
131,11-May-2019 - 00:00,62.46,3.48,23.81,27.29,15.93,1.89,0.29,38.86,4.88,11.16,,,30.43,70.57,1.02,208.03,200.62,1000.87,0.01,,1.170331
132,12-May-2019 - 00:00,59.22,3.03,16.16,19.2,11.83,1.69,0.23,35.74,2.48,4.42,,,30.34,71.27,0.87,204.19,177.44,1000.49,0.01,,1.170331
133,13-May-2019 - 00:00,51.12,3.24,17.12,20.37,8.71,2.06,0.24,37,3.9,8.6,,,29.64,71.54,0.75,194.31,168.29,999.99,0,,1.170331
134,14-May-2019 - 00:00,40.79,3.66,24.17,27.71,10.75,3.74,0.27,29.5,4.38,11.56,0.1,,28.21,68.07,0.58,148.09,169.07,1000.7,0,,1.170331
135,15-May-2019 - 00:00,47.64,3.83,31.29,35.12,8.49,2.39,0.27,19.68,6.74,14.74,0.23,,30.27,65.62,0.62,199.51,187.78,1001.34,0,,1.170331
136,16-May-2019 - 00:00,51.48,3.51,31.6,35.11,9.31,2.21,0.31,27.55,8.4,13.12,0.16,,31.07,65.73,0.53,195.71,195.37,1001.72,0,,1.170331
137,17-May-2019 - 00:00,59.77,3.88,26.66,30.56,9.09,2.14,0.28,25.32,6.78,12.69,0.13,,31.61,72.3,0.78,206.45,197.15,1000.19,0.01,,1.170331
138,18-May-2019 - 00:00,57.43,3.76,18.7,22.46,8.97,2.75,0.26,22.66,5.9,12.02,0.14,,31.99,71.47,0.73,204.84,189.23,999.69,0.01,,1.170331
139,19-May-2019 - 00:00,58.44,4.43,18.12,22.55,10.27,4.12,0.26,22.66,,,,,31.24,70.25,0.5,189.59,151.72,1001.53,0,,1.170331
140,20-May-2019 - 00:00,45.47,5.19,20.57,25.68,7.49,4.07,0.24,14.18,6.21,10.52,0.14,,31.68,71.88,0.57,184.69,179.23,1002.41,0,,1.170331
